Site Name;Latitude;Longitude;Provinces;Territoire;Zone;Population;Population Range;Nearest Site;Distance;Distance Level;300 Sites planned
Part2_23453_NewSite_11_671_550797;2.130714;23.29977;Mongala;Bumba;;370;0. <1K;UL_Loolo_EQT;27249,8;>5km;No
Part2_23453_NewSite_13_685_650519;3.897851;22.576104;Nord-Ubangi;Yakoma;;1328;1. 1K~3K;Yakoma_EQT;27255,5;>5km;No
Part2_23453_NewSite_11_330_550797;2.568512;20.906445;Sud-Ubangi;Budjala;;82;0. <1K;UL_Bilia_EQT;27260,0;>5km;No
Part1_23453_NewSite_4_908_200001;-9.672068;24.648402;Haut-Lomami;Kamina;;2166;1. 1K~3K;UL_Sokele_HLU;27266,6;>5km;No
Part1_23453_NewSite_11_356_550928;-5.56952;25.923885;Lomami;Lubao;;355;0. <1K;CD1318;27269,4;>5km;No
Part2_23453_NewSite_4_984_201018;0.622143;28.727833;Ituri;Mambasa;;406;0. <1K;UL_Kambau_NKV;27272,1;>5km;No
Part2_23453_NewSite_19_733_950583;-0.813224;22.017348;Tshuapa;Bokungu;;221;0. <1K;Bokungu_EQT;27274,9;>5km;No
Part2_23453_NewSite_14_785_700687;-3.809168;23.033244;Sankuru;Lodja;;257;0. <1K;KE_05_508_C0;27283,2;>5km;No
Part2_23453_NewSite_14_585_700867;-3.168873;23.520203;Sankuru;Lodja;;149;0. <1K;UL_Omendjadi_KOR;27286,0;>5km;No
Part1_23453_NewSite_16_848_800004;-7.564323;27.954419;Tanganyka;Manono;;252;0. <1K;KT_08_335_C0;27289,5;>5km;No
Part1_23453_NewSite_16_820_800002;-7.469551;27.81251;Tanganyka;Manono;;170;0. <1K;KT_08_335_C0;27289,6;>5km;No
Part2_23453_NewSite_13_627_650341;3.972923;20.011844;Nord-Ubangi;Businga;;129;0. <1K;UL_Bosobolo_EQT;27294,2;>5km;No
Part2_23453_NewSite_1_805_50004;2.958726;25.394226;Bas-Uele;Buta;Nord;180;0. <1K;UL_Kumu_POR;27295,6;>5km;No
Part1_23453_NewSite_7_596_350001;-5.530482;16.262673;Kwango;Popokabaka;;762;0. <1K;BC_03_3386_C0;27300,8;>5km;No
Part2_23453_NewSite_1_778_50605;3.19497;26.001591;Bas-Uele;Bambesa;Nord;118;0. <1K;UL_Zobia_POR;27301,6;>5km;No
Part2_23453_NewSite_2_498_100001;1.19271;18.105086;Equateur;Bomongo;;2398;1. 1K~3K;UL_Buburu_EQT;27304,0;>5km;No
Part1_23453_NewSite_10_152_500001;-2.782932;20.987404;Kasai;Dekese;;432;0. <1K;UL_Likimbi_EQT;27305,4;>5km;No
